,interval_start_utc,interval_end_utc,north,south,west,houston,total
5,2023-01-01 05:00:00+00:00,2023-01-01 06:00:00+00:00,12065.13,9548.46,6515.71,8540.91,36670.21
6,2023-01-01 06:00:00+00:00,2023-01-01 07:00:00+00:00,11744.81,9391.59,6409.28,8299.45,35845.13
7,2023-01-01 07:00:00+00:00,2023-01-01 08:00:00+00:00,11526.63,9208.5,6356.8,8171.5,35263.44
8,2023-01-01 08:00:00+00:00,2023-01-01 09:00:00+00:00,11294.22,8981.61,6340.45,7997.26,34613.53
9,2023-01-01 09:00:00+00:00,2023-01-01 10:00:00+00:00,11157.53,8869.19,6354.59,7854.72,34236.02
10,2023-01-01 10:00:00+00:00,2023-01-01 11:00:00+00:00,11185.16,8769.12,6357.92,7776.76,34088.96
11,2023-01-01 11:00:00+00:00,2023-01-01 12:00:00+00:00,11364.09,8830.07,6299.86,7756.29,34250.31
12,2023-01-01 12:00:00+00:00,2023-01-01 13:00:00+00:00,11646.23,8926.68,6322.0,7837.33,34732.24
13,2023-01-01 13:00:00+00:00,2023-01-01 14:00:00+00:00,11939.46,9103.62,6310.32,7895.9,35249.29
14,2023-01-01 14:00:00+00:00,2023-01-01 15:00:00+00:00,12217.97,9320.87,6361.69,8056.85,35957.37
15,2023-01-01 15:00:00+00:00,2023-01-01 16:00:00+00:00,12417.35,9494.62,6376.05,8372.77,36660.79
16,2023-01-01 16:00:00+00:00,2023-01-01 17:00:00+00:00,12194.2,9735.42,6241.55,8718.75,36889.92
17,2023-01-01 17:00:00+00:00,2023-01-01 18:00:00+00:00,12203.89,9852.55,6174.14,9008.48,37239.06
18,2023-01-01 18:00:00+00:00,2023-01-01 19:00:00+00:00,12359.11,9943.6,6174.45,9269.05,37746.2
19,2023-01-01 19:00:00+00:00,2023-01-01 20:00:00+00:00,12330.21,10253.5,5908.55,9565.8,38058.06
20,2023-01-01 20:00:00+00:00,2023-01-01 21:00:00+00:00,12299.78,10630.33,6019.35,9807.32,38756.77
21,2023-01-01 21:00:00+00:00,2023-01-01 22:00:00+00:00,12462.72,10844.8,6276.07,9958.92,39542.51
22,2023-01-01 22:00:00+00:00,2023-01-01 23:00:00+00:00,12603.61,11091.33,6082.34,10000.48,39777.76
23,2023-01-01 23:00:00+00:00,2023-01-02 00:00:00+00:00,13024.14,11261.16,6029.82,10116.8,40431.93
24,2023-01-02 00:00:00+00:00,2023-01-02 01:00:00+00:00,13575.23,11595.36,6345.91,10323.17,41839.67
25,2023-01-02 01:00:00+00:00,2023-01-02 02:00:00+00:00,13494.46,11385.49,6336.58,10196.76,41413.28
26,2023-01-02 02:00:00+00:00,2023-01-02 03:00:00+00:00,13377.82,11173.72,6326.76,10079.06,40957.36
